layer,head,head_index,n_prompts,period_mean,period_min,period_max,period_std,period_q25,period_q75,period_iqr,period_range,dominant_period,dominant_period_count
0,0,0,128,9.327922077922082,6.181818181818182,9.714285714285715,1.1025153702676922,9.714285714285715,9.714285714285715,0.0,3.5324675324675336,9.714285714285715,114
0,1,1,128,7.1936079545454525,6.181818181818182,17.0,1.9779081918301022,6.8,6.8,0.0,10.818181818181818,6.8,122
0,2,2,128,5.421654639795909,2.9565217391304346,7.555555555555555,1.348323755403061,4.1875,6.181818181818182,1.9943181818181817,4.599033816425121,6.181818181818182,90
0,3,3,128,4.038777254425149,2.0,34.0,3.062656618076095,3.090909090909091,3.833333333333333,0.7424242424242422,32.0,3.090909090909091,80
0,4,4,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,5,5,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,6,6,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,7,7,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,8,8,128,5.048722514866066,2.0,22.666666666666668,2.925673585415271,3.090909090909091,6.181818181818182,3.090909090909091,20.666666666666668,3.090909090909091,52
0,9,9,128,9.200667388167393,6.181818181818182,9.714285714285715,1.235867341721538,9.714285714285715,9.714285714285715,0.0,3.5324675324675336,9.714285714285715,109
0,10,10,128,45.23214285714285,9.714285714285715,68.0,28.437044456992705,9.714285714285715,68.0,58.285714285714285,58.285714285714285,68.0,78
0,11,11,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,0,12,128,6.56818181818182,6.181818181818182,9.714285714285715,1.1025153702676922,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,114
1,1,13,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,2,14,128,6.45779220779221,6.181818181818182,9.714285714285715,0.9480019111506511,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,118
1,3,15,128,6.816558441558444,6.181818181818182,9.714285714285715,1.3562094829882825,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,105
1,4,16,128,6.430194805194807,6.181818181818182,9.714285714285715,0.9031563601402948,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,119
1,5,17,128,9.233247655122659,6.181818181818182,9.714285714285715,0.9472023203315811,9.714285714285715,9.714285714285715,0.0,3.5324675324675336,9.714285714285715,99
1,6,18,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,7,19,128,7.689945211038962,2.0,22.666666666666668,3.2815549528102452,6.314285714285714,9.714285714285715,3.4000000000000012,20.666666666666668,9.714285714285715,52
1,8,20,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,9,21,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,10,22,128,6.868303571428573,6.181818181818182,9.714285714285715,1.3723526454742314,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,99
1,11,23,128,8.42841923701299,3.090909090909091,9.714285714285715,1.9561375867870001,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,9.714285714285715,86
2,0,24,128,7.321167730296021,3.090909090909091,22.666666666666668,3.1378535938451684,5.230769230769231,9.714285714285715,4.4835164835164845,19.575757575757578,9.714285714285715,43
2,1,25,128,8.892573051948055,3.090909090909091,13.6,1.6163526529813543,9.714285714285715,9.714285714285715,0.0,10.509090909090908,9.714285714285715,97
2,2,26,128,15.346888528138528,3.238095238095238,22.666666666666668,7.994004876453213,6.181818181818182,22.666666666666668,16.484848484848484,19.42857142857143,22.666666666666668,69
2,3,27,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,4,28,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,5,29,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,6,30,128,8.902792090156225,2.9565217391304346,13.6,2.4877350839719288,9.714285714285715,9.714285714285715,0.0,10.643478260869564,9.714285714285715,94
2,7,31,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,8,32,128,6.237012987012989,6.181818181818182,9.714285714285715,0.43809518462433156,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,126
2,9,33,128,6.1914772727272736,6.181818181818182,6.8,0.07666665730925802,6.181818181818182,6.181818181818182,0.0,0.6181818181818182,6.181818181818182,126
