layer,head,head_index,n_prompts,period_mean,period_min,period_max,period_std,period_q25,period_q75,period_iqr,period_range,dominant_period,dominant_period_count
0,0,0,150,9.196190476190475,6.181818181818182,9.714285714285715,1.2496927348594549,9.714285714285715,9.714285714285715,0.0,3.5324675324675336,9.714285714285715,128
0,1,1,150,7.003999999999996,6.8,17.0,1.4280000000000002,6.8,6.8,0.0,10.2,6.8,147
0,2,2,150,5.436364336062275,2.9565217391304346,9.714285714285715,1.3846383177772847,4.1410256410256405,6.181818181818182,2.040792540792541,6.757763975155281,6.181818181818182,107
0,3,3,150,4.1761106676733,2.0,11.333333333333334,1.8367911819276614,3.090909090909091,5.230769230769231,2.13986013986014,9.333333333333334,3.090909090909091,76
0,4,4,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
0,5,5,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
0,6,6,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
0,7,7,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
0,8,8,150,4.653276109062998,2.0606060606060606,22.666666666666668,2.5200207564177384,3.090909090909091,6.181818181818182,3.090909090909091,20.60606060606061,3.090909090909091,56
0,9,9,150,9.242372099635258,3.090909090909091,34.0,3.9788373659887153,8.803571428571429,9.714285714285715,0.9107142857142865,30.90909090909091,9.714285714285715,107
0,10,10,150,47.794285714285714,9.714285714285715,68.0,27.738666153944745,9.714285714285715,68.0,58.285714285714285,58.285714285714285,68.0,98
0,11,11,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
1,0,12,150,6.652813852813852,6.181818181818182,9.714285714285715,1.200808058612327,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,130
1,1,13,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
1,2,14,150,6.397887445887445,6.181818181818182,9.714285714285715,0.8393815244589353,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,140
1,3,15,150,6.84121212121212,6.181818181818182,9.714285714285715,1.3764037615124052,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,122
1,4,16,150,6.346666666666666,6.181818181818182,9.714285714285715,0.7450818059427421,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,143
1,5,17,150,8.765074703074703,5.230769230769231,9.714285714285715,1.3234453729182185,7.555555555555555,9.714285714285715,2.15873015873016,4.4835164835164845,9.714285714285715,93
1,6,18,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
1,7,19,150,6.634617604448268,2.9565217391304346,22.666666666666668,3.1593962879649706,3.238095238095238,9.714285714285715,6.476190476190477,19.710144927536234,9.714285714285715,41
1,8,20,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
1,9,21,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
1,10,22,150,7.126753246753245,3.090909090909091,9.714285714285715,1.6303256154564836,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,6.181818181818182,102
1,11,23,150,7.759081289081287,3.090909090909091,9.714285714285715,2.3116999822808126,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,9.714285714285715,81
2,0,24,150,6.688408705626098,2.9565217391304346,22.666666666666668,3.742178254741226,3.2785714285714285,9.714285714285715,6.435714285714287,19.710144927536234,9.714285714285715,37
2,1,25,150,7.453506493506492,3.090909090909091,9.714285714285715,1.9916977961822564,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,6.181818181818182,81
2,2,26,150,14.873274651274654,3.238095238095238,22.666666666666668,8.040271218073348,6.181818181818182,22.666666666666668,16.484848484848484,19.42857142857143,22.666666666666668,76
2,3,27,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
2,4,28,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
2,5,29,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
2,6,30,150,7.787573296099612,3.090909090909091,13.6,2.885677885045695,4.857142857142858,9.714285714285715,4.857142857142858,10.509090909090908,9.714285714285715,82
2,7,31,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
2,8,32,150,6.205367965367964,6.181818181818182,9.714285714285715,0.2874617426389237,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,149
2,9,33,150,6.227151515151514,6.181818181818182,6.8,0.1611494068035353,6.181818181818182,6.181818181818182,0.0,0.6181818181818182,6.181818181818182,139
2,10,34,150,5.79030303030303,3.090909090909091,6.181818181818182,1.0280338648025658,6.181818181818182,6.181818181818182,0.0,3.090909090909091,6.181818181818182,131
2,11,35,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
3,0,36,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
3,1,37,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
3,2,38,150,6.181818181818181,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,150
3,3,39,150,5.289676780546345,2.9565217391304346,11.333333333333334,1.465840611628668,3.238095238095238,6.181818181818182,2.9437229437229435,8.376811594202898,6.181818181818182,96
