alpha,beta,flip_rate,agreement_with_reference
0.775,6.4,0.087283,0.925000
0.775,6.6,0.087283,0.925000
0.775,6.8,0.087283,0.925000
0.775,7.0,0.087413,0.936111
0.775,7.2,0.087413,0.936111
0.775,7.4,0.087413,0.936111
0.775,7.6,0.087804,0.936111
0.775,7.8,0.087804,0.936111
0.775,8.0,0.087804,0.936111
0.775,8.2,0.087804,0.936111
0.775,8.4,0.087804,0.936111
0.775,8.6,0.087847,0.936111
0.775,8.8,0.087847,0.936111
0.775,9.0,0.087847,0.936111
0.8,5.0,0.060200,0.566667
0.8,5.2,0.060200,0.566667
0.8,5.4,0.061111,0.566667
0.8,5.6,0.061111,0.566667
0.8,5.8,0.061502,0.569444
0.8,6.0,0.061502,0.569444
0.8,6.2,0.089714,0.944444
0.8,6.4,0.089714,0.944444
0.8,6.6,0.089714,0.944444
0.8,6.8,0.089714,0.944444
0.8,7.0,0.089670,0.944444
0.8,7.2,0.089670,0.944444
0.8,7.4,0.089670,0.944444
0.8,7.6,0.090061,0.944444
0.8,7.8,0.090061,0.944444
0.8,8.0,0.090061,0.944444
0.8,8.2,0.090061,0.944444
0.8,8.4,0.090061,0.944444
0.8,8.6,0.090278,0.944444
0.8,8.8,0.090278,0.944444
0.8,9.0,0.090278,0.944444
0.825,5.0,0.060937,0.566667
0.825,5.2,0.060937,0.566667
0.825,5.4,0.061849,0.566667
0.825,5.6,0.061849,0.566667
0.825,5.8,0.062370,0.569444
0.825,6.0,0.062370,0.569444
0.825,6.2,0.091580,0.944444
0.825,6.4,0.091580,0.944444
0.825,6.6,0.091580,0.944444
0.825,6.8,0.091580,0.944444
0.825,7.0,0.091536,0.944444
0.825,7.2,0.091536,0.944444
0.825,7.4,0.091536,0.944444
0.825,7.6,0.092014,0.944444
0.825,7.8,0.092014,0.944444
0.825,8.0,0.092014,0.944444
0.825,8.2,0.092014,0.944444
0.825,8.4,0.092014,0.944444
0.825,8.6,0.092101,0.950000
0.825,8.8,0.092101,0.950000
0.825,9.0,0.092101,0.950000
0.85,5.0,0.062760,0.566667
0.85,5.2,0.062760,0.566667
0.85,5.4,0.063759,0.566667
0.85,5.6,0.063759,0.566667
0.85,5.8,0.064366,0.569444
0.85,6.0,0.064366,0.569444
0.85,6.2,0.095747,0.933333
0.85,6.4,0.095747,0.933333
0.85,6.6,0.095747,0.933333
0.85,6.8,0.095747,0.933333
0.85,7.0,0.094314,0.927778
0.85,7.2,0.094314,0.927778
0.85,7.4,0.094314,0.927778
0.85,7.6,0.094748,0.930556
0.85,7.8,0.094748,0.930556
0.85,8.0,0.094748,0.930556
0.85,8.2,0.094748,0.930556
0.85,8.4,0.094748,0.930556
0.85,8.6,0.094748,0.930556
0.85,8.8,0.094748,0.930556
0.85,9.0,0.094748,0.930556
0.875,5.0,0.065885,0.566667
0.875,5.2,0.065885,0.566667
0.875,5.4,0.067274,0.566667
0.875,5.6,0.067274,0.566667
0.875,5.8,0.067839,0.572222
0.875,6.0,0.067839,0.572222
0.875,6.2,0.100434,0.916667
0.875,6.4,0.100434,0.916667
0.875,6.6,0.100434,0.916667
0.875,6.8,0.100434,0.916667
0.875,7.0,0.097786,0.908333
0.875,7.2,0.097786,0.908333
0.875,7.4,0.097786,0.908333
0.875,7.6,0.098177,0.908333
0.875,7.8,0.098177,0.908333
0.875,8.0,0.098177,0.908333
0.875,8.2,0.098177,0.908333
0.875,8.4,0.098177,0.908333
0.875,8.6,0.098003,0.905556
0.875,8.8,0.098003,0.905556
0.875,9.0,0.098003,0.905556
0.9,5.0,0.070139,0.572222
0.9,5.2,0.070139,0.572222
0.9,5.4,0.071701,0.572222
0.9,5.6,0.071701,0.572222
0.9,5.8,0.072266,0.575000
0.9,6.0,0.072266,0.575000
0.9,6.2,0.100174,0.888889
0.9,6.4,0.100174,0.888889
0.9,6.6,0.100174,0.888889
0.9,6.8,0.100174,0.888889
0.9,7.0,0.097483,0.888889
0.9,7.2,0.097483,0.888889
0.9,7.4,0.097483,0.888889
0.9,7.6,0.097917,0.886111
0.9,7.8,0.097917,0.886111
0.9,8.0,0.097917,0.886111
0.9,8.2,0.097917,0.886111
0.9,8.4,0.097917,0.886111
0.9,8.6,0.097700,0.888889
0.9,8.8,0.097700,0.888889
0.9,9.0,0.097700,0.888889
0.925,5.0,0.072092,0.572222
0.925,5.2,0.072092,0.572222
0.925,5.4,0.073698,0.572222
0.925,5.6,0.073698,0.572222
0.925,5.8,0.074219,0.572222
0.925,6.0,0.074219,0.572222
0.925,6.2,0.102431,0.883333
0.925,6.4,0.102431,0.883333
0.925,6.6,0.102431,0.883333
0.925,6.8,0.102431,0.883333
0.925,7.0,0.099523,0.875000
0.925,7.2,0.099523,0.875000
0.925,7.4,0.099523,0.875000
0.925,7.6,0.099870,0.875000
0.925,7.8,0.099870,0.875000
0.925,8.0,0.099870,0.875000
0.925,8.2,0.099870,0.875000
0.925,8.4,0.099870,0.875000
0.925,8.6,0.099479,0.877778
0.925,8.8,0.099479,0.877778
0.925,9.0,0.099479,0.877778
0.95,5.0,0.076606,0.566667
0.95,5.2,0.076606,0.566667
0.95,5.4,0.078255,0.566667
0.95,5.6,0.078255,0.566667
0.95,5.8,0.078906,0.566667
0.95,6.0,0.078906,0.566667
0.95,6.2,0.106554,0.858333
0.95,6.4,0.106554,0.858333
0.95,6.6,0.106554,0.858333
0.95,6.8,0.106554,0.858333
0.95,7.0,0.103212,0.852778
0.95,7.2,0.103212,0.852778
0.95,7.4,0.103212,0.852778
0.95,7.6,0.103429,0.850000
0.95,7.8,0.103429,0.850000
0.95,8.0,0.103429,0.850000
0.95,8.2,0.103429,0.850000
0.95,8.4,0.103429,0.850000
0.95,8.6,0.103038,0.850000
0.95,8.8,0.103038,0.850000
0.95,9.0,0.103038,0.850000
