layer,head,head_index,n_prompts,period_mean,period_min,period_max,period_std,period_q25,period_q75,period_iqr,period_range,dominant_period,dominant_period_count
0,0,0,128,9.327922077922082,6.181818181818182,9.714285714285715,1.1025153702676922,9.714285714285715,9.714285714285715,0.0,3.5324675324675336,9.714285714285715,114
0,1,1,128,7.1970576298701285,6.181818181818182,17.0,1.9969194939527868,6.8,6.8,0.0,10.818181818181818,6.8,117
0,2,2,128,5.09038499148044,2.125,8.5,1.5351503472768337,3.090909090909091,6.181818181818182,3.090909090909091,6.375,6.181818181818182,76
0,3,3,128,3.8720082056895566,2.9565217391304346,9.714285714285715,1.5711846275691628,3.090909090909091,3.833333333333333,0.7424242424242422,6.757763975155281,3.090909090909091,74
0,4,4,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,5,5,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,6,6,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,7,7,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
0,8,8,128,4.516049222318173,2.72,9.714285714285715,1.8253536569287774,3.090909090909091,6.181818181818182,3.090909090909091,6.994285714285715,3.090909090909091,55
0,9,9,128,8.977377570346324,3.090909090909091,9.714285714285715,1.5227630495183408,9.714285714285715,9.714285714285715,0.0,6.6233766233766245,9.714285714285715,102
0,10,10,128,45.6875,9.714285714285715,68.0,28.33111970519344,9.714285714285715,68.0,58.285714285714285,58.285714285714285,68.0,79
0,11,11,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,0,12,128,6.485389610389612,6.181818181818182,9.714285714285715,0.9900508082762524,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,117
1,1,13,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,2,14,128,6.574736201298702,6.181818181818182,17.0,1.35472430657819,6.181818181818182,6.181818181818182,0.0,10.818181818181818,6.181818181818182,115
1,3,15,128,6.899350649350652,6.181818181818182,9.714285714285715,1.4211992482008022,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,102
1,4,16,128,6.237012987012987,6.181818181818182,9.714285714285715,0.43809518462433167,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,126
1,5,17,128,9.317534722222224,6.8,9.714285714285715,0.8660007848462569,9.714285714285715,9.714285714285715,0.0,2.9142857142857155,9.714285714285715,105
1,6,18,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,7,19,128,8.110421794389186,2.9565217391304346,22.666666666666668,4.42358461719504,4.776190476190477,9.714285714285715,4.938095238095238,19.710144927536234,9.714285714285715,50
1,8,20,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,9,21,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
1,10,22,128,7.207751623376626,6.181818181818182,9.714285714285715,1.5992068255686163,6.181818181818182,9.714285714285715,3.5324675324675336,3.5324675324675336,6.181818181818182,90
1,11,23,128,7.200334821428573,3.090909090909091,9.714285714285715,2.3275351763633996,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,6.181818181818182,57
2,0,24,128,6.875114429275436,2.9565217391304346,22.666666666666668,2.980873962955037,3.683333333333333,9.714285714285715,6.030952380952382,19.710144927536234,9.714285714285715,40
2,1,25,128,8.158482142857146,3.090909090909091,9.714285714285715,1.9685015396813499,6.181818181818182,9.714285714285715,3.5324675324675336,6.6233766233766245,9.714285714285715,76
2,2,26,128,13.152621336996338,3.238095238095238,22.666666666666668,7.861563350033244,6.181818181818182,22.666666666666668,16.484848484848484,19.42857142857143,6.181818181818182,55
2,3,27,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,4,28,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,5,29,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,6,30,128,8.71614943216506,3.090909090909091,13.6,2.3123078751290382,8.26388888888889,9.714285714285715,1.450396825396826,10.509090909090908,9.714285714285715,90
2,7,31,128,6.1818181818181825,6.181818181818182,6.181818181818182,8.881784197001252e-16,6.181818181818182,6.181818181818182,0.0,0.0,6.181818181818182,128
2,8,32,128,6.319805194805196,6.181818181818182,9.714285714285715,0.6843933280838742,6.181818181818182,6.181818181818182,0.0,3.5324675324675336,6.181818181818182,123
2,9,33,128,6.168479437229438,3.238095238095238,6.8,0.2710948326396242,6.181818181818182,6.181818181818182,0.0,3.5619047619047617,6.181818181818182,125
2,10,34,128,6.118430397727273,3.090909090909091,6.181818181818182,0.41762960258353027,6.181818181818182,6.181818181818182,0.0,3.090909090909091,6.181818181818182,125
