index,run,seed,prompt
0,run_000,42,a person jumps from building
3,run_003,45,a person jumps from building
6,run_006,48,a person jumps from building
9,run_009,51,a person jumps from building
12,run_012,54,a person jumps from building
15,run_015,57,a person jumps from building
