season,week,n_active,n_elim,actual_elim,pred_pct,pred_rank,pct_match,rank_match,same_pred,V_elim_pct,V_elim_rank,pct_more_audience,rank_more_audience,margin_pct,margin_rank
6,2,12,2,Monica Seles | Penn Jillette,Monica Seles | Penn Jillette,Monica Seles | Penn Jillette,1,1,1,5.893661284110682e-10,5.893661284110682e-10,0,0,0.060666687907883994,0.0641025641025641
6,3,10,1,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,1,1,1,1.6795586985615107e-09,1.6795586985615107e-09,0,0,0.059900469351227836,0.054545454545454536
6,4,9,1,Adam Carolla,Adam Carolla,Adam Carolla,1,1,1,3.7054145742414317e-10,3.7054145742414317e-10,0,0,0.07745518014726513,0.08888888888888888
6,5,8,1,Priscilla Presley,Priscilla Presley,Priscilla Presley,1,1,1,1.0526147138834732e-09,1.0526147138834732e-09,0,0,0.08159192063982126,0.10416666666666667
6,6,7,1,Marlee Matlin,Marlee Matlin,Marlee Matlin,1,1,1,3.535157584314914e-09,3.535157584314914e-09,0,0,0.09857242792840892,0.11607142857142856
6,7,6,1,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,1,1,1,8.478076826277862e-10,8.478076826277862e-10,0,0,0.10093231509701991,0.08333333333333333
6,8,5,1,Mario,Mario,Mario,1,1,1,5.0081716314672376e-08,5.0081716314672376e-08,0,0,0.12589795252859726,0.06666666666666665
6,9,4,1,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,1,1,1,3.440152954173883e-08,3.440152954173883e-08,0,0,0.17573799434041987,0.19999999999999998
7,1,13,2,Ted McGinley | Jeffrey Ross,Jeffrey Ross | Ted McGinley,Jeffrey Ross | Ted McGinley,1,1,1,1.8109061479677811e-09,1.8109061479677811e-09,0,0,0.04868070060356041,0.04395604395604395
7,2,11,2,Misty May-Treanor | Kim Kardashian,Kim Kardashian | Misty May-Treanor,Kim Kardashian | Misty May-Treanor,1,1,1,1.4509015216160736e-10,1.4509015216160736e-10,0,0,0.054017054343302014,0.030303030303030304
7,4,9,1,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,1,1,1,4.769954589986694e-10,4.769954589986694e-10,0,0,0.07507811698167602,0.08888888888888888
7,5,8,1,Toni Braxton,Toni Braxton,Toni Braxton,1,1,1,1.0735635628119512e-09,1.0735635628119512e-09,0,0,0.07834770806722498,0.05555555555555555
7,6,7,1,Cloris Leachman,Cloris Leachman,Cloris Leachman,1,1,1,1.8444547018342795e-08,1.8444547018342795e-08,0,0,0.1118882391851132,0.12499999999999999
7,7,6,1,Susan Lucci,Susan Lucci,Susan Lucci,1,1,1,5.612148477514741e-09,5.612148477514741e-09,0,0,0.10197930775995291,0.07142857142857142
7,8,5,1,Maurice Greene,Maurice Greene,Maurice Greene,1,1,1,6.01019794818319e-08,6.01019794818319e-08,0,0,0.13230851109585623,0.13333333333333333
7,9,4,1,Cody Linley,Cody Linley,Cody Linley,1,1,1,1.32492058320127e-06,1.32492058320127e-06,0,0,0.18068404482243078,0.17500000000000002
8,2,13,1,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle,1,1,1,1.699103307998601e-09,1.699103307998601e-09,0,0,0.0464723573647208,0.04395604395604395
8,3,12,1,Denise Richards,Denise Richards,Denise Richards,1,1,1,1.1610578909964152e-09,1.1610578909964152e-09,0,0,0.05643197179924176,0.05769230769230769
8,4,11,2,Steve Wozniak | Holly Madison,Steve Wozniak | Holly Madison,Steve Wozniak | Holly Madison,1,1,1,5.353104907958363e-10,5.353104907958363e-10,0,0,0.07157413898945061,0.06818181818181818
