head,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,age_z
0,0.2004503,0.19965093,0.19859532,0.20124754,0.20005621
1,0.19984186,0.19951062,0.20225438,0.19755583,0.20083718
2,0.19921412,0.2004196,0.19943781,0.2017256,0.19920291
3,0.20088424,0.20069848,0.20226716,0.18950187,0.20664713
