r,S1,S2,S3,S4,S5
2,80.098,80.284,80.300,80.303,80.276
3,81.182,81.147,81.191,81.201,81.201
4,81.685,81.752,81.749,81.758,81.825
5,81.642,81.930,81.682,81.771,81.676
6,81.588,81.755,81.662,81.662,81.645
