head,celebrity_homestate,celebrity_homecountry/region,us_region,continent,partner_score_z,industry_skill_z,age_z,progress_z,popularity_z
0,0.09698389,0.096905954,0.09697814,0.09854432,0.098814756,0.09835966,0.097448096,0.21765503,0.098309666
1,0.09709467,0.09591282,0.09624006,0.09160782,0.10618302,0.20148999,0.0967855,0.09954074,0.11514525
2,0.09786132,0.099723704,0.09726778,0.100535475,0.21582614,0.09772429,0.096886836,0.097181164,0.096993245
3,0.097577035,0.096078224,0.09840443,0.095868886,0.09842439,0.097889386,0.21788871,0.09959988,0.0982687
